,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
4002,2904 Golf Stream Court,"Steamboat Springs, CO 80487","May 07, 2020","$1,790,000","$1,610,000",Single Family Residential,1999,3197,4,4,Sanctuary,Sanctuary,"$4,268",Steamboat Springs RE-2,2,2,"Crawl Space, Interior Entry",$200,Cash
4003,1377 Lansing Street,"Aurora, CO 80010","Feb 11, 2020","$1,650,000","$1,610,000",Multifamily,1955,8696,,,Hoffman Heights,Hoffman Heights,"$3,106",Adams-Arapahoe 28J,,,None,,Conventional
4004,956 Confluence Court Unit 940 Confluence Court,"Steamboat Springs, CO 80487","Jan 03, 2020","$1,650,000","$1,610,000",Multifamily,1994,4448,,,,,"$4,960",Steamboat Springs RE-2,2,2,None,,Conventional
4005,1380 Huntington Trails Parkway,"Westminster, CO 80023","Dec 10, 2019","$1,690,000","$1,610,000",Single Family Residential,2007,6776,5,7,Huntington Trails,Huntington Trails,"$13,551",Adams 12 5 Star Schl,4,4,"Daylight, Full, Finished",$158,Cash
4006,501 S Race Street,"Denver, CO 80209","Dec 02, 2019","$1,639,000","$1,610,000",Single Family Residential,2018,4814,6,6,Washington Park,Washington Park,"$6,867",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
4007,1421 Washington Avenue,"Golden, CO 80401","Sep 20, 2019","$1,695,000","$1,610,000",Multifamily,1909,6135,,,Downtown Golden,Downtown Golden,"$5,917",Jefferson County R-1,,,Partial,,Cash
4008,157 Bellaire Street,"Denver, CO 80220","May 18, 2018","$1,649,000","$1,610,000",Single Family Residential,1930,3789,5,4,Hilltop,Hilltop,"$8,448",Denver 1,2,2,"Crawl Space, Finished, Interior Entry, Partial",,Cash
4009,1280 Clubhouse Circle,"Steamboat Springs, CO 80487","Feb 22, 2019","$1,635,000","$1,610,000",Single Family Residential,2018,3445,4,4,Graystone On The Green,Graystone On The Green,"$4,288",Steamboat Springs RE-2,2,2,None,$300,Conventional
4010,3710 E 5th Avenue,"Denver, CO 80206","Dec 17, 2018","$1,690,000","$1,610,000",Multifamily,2015,4712,,,Cherry Creek,Cherry Creek,"$8,119",Denver 1,2,2,"Full, Finished, Interior Entry, Sump Pump",,Conventional
4011,500 Steamboat Boulevard,"Steamboat Springs, CO 80487","Dec 07, 2018","$1,610,000","$1,610,000",Single Family Residential,1985,6147,4,6,Mountain View Estates,Mountain View Estates,"$5,892",Steamboat Springs RE-2,3,3,"Exterior Entry, Full, Finished, Heated",$50,Conventional
4012,1665 Vine Cliff Heights,"Colorado Springs, CO 80921","Aug 27, 2018","$1,699,900","$1,610,000",Single Family Residential,2018,6992,4,6,Flying Horse,Flying Horse,"$6,587",Academy 20,7,7,"Full, Finished",$450,Cash
4013,47 Shoreline Way,"Grand Lake, CO 80447","Aug 21, 2018","$1,649,000","$1,610,000",Single Family Residential,1997,4757,3,3,Grand Lake,Grand Lake,"$5,235",East Grand 2,2,2,"Full, Finished, Walk-Out Access",$57,Conventional
4014,1775 Ivy Street,"Denver, CO 80220","Aug 03, 2018","$1,699,000","$1,610,000",Single Family Residential,2018,4795,5,5,Park Hill,Park Hill,"$2,668",Denver 1,2,2,"Full, Finished, Interior Entry",,Cash
4015,15 Maryland Creek Road,"Silverthorne, CO 80498","Jan 10, 2020","$1,608,438","$1,608,438",Single Family Residential,2019,3325,4,4,Summit Sky Ranch,Summit Sky Ranch,,Summit RE-1,2,2,None,$349,Conventional
4016,1930 Holly Street,"Denver, CO 80220","Apr 01, 2019","$1,575,000","$1,608,000",Single Family Residential,1923,5469,6,5,Park Hill,Park Hill,"$6,988",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
4017,1366 S Fillmore Street,"Denver, CO 80210","Mar 03, 2021","$1,575,000","$1,607,500",Single Family Residential,2007,5000,6,5,Cory-Merrill,Cory-Merrill,"$7,165",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
4018,83 E Baron Way,"Silverthorne, CO 80498","Oct 05, 2020","$1,520,000","$1,605,869",Single Family Residential,2020,3431,4,5,Silverthorne,Silverthorne,,Summit RE-1,2,2,None,$349,Other
4019,2474 S Josephine Street,"Denver, CO 80210","Dec 15, 2020","$1,500,000","$1,605,500",Single Family Residential,2003,5400,5,6,Observatory Park,Observatory Park,"$7,159",Denver 1,3,3,"Full, Finished, Sump Pump",,Conventional
4020,5621 Raintree Drive,"Parker, CO 80134","Oct 17, 2018","$1,605,372","$1,605,372",Single Family Residential,2018,5436,4,5,Pradera,Pradera,"$2,633",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$216,Conventional
4021,2925 Carriage Hills Drive,"Boulder, CO 80302","Aug 10, 2020","$1,675,000","$1,605,000",Single Family Residential,1986,3452,3,3,Carriage Hills Estates,Carriage Hills Estates,"$5,194",Boulder Valley RE 2,4,4,Partial,"$2,200","Cash, Conventional"
4022,27921 Alabraska Lane,"Evergreen, CO 80439","Mar 09, 2021","$1,625,000","$1,605,000",Single Family Residential,2004,5927,5,6,Near Evergreen Meadows,Near Evergreen Meadows,"$8,911",Jefferson County R-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",,Conventional
4023,544 Utica Court,"Boulder, CO 80304","May 09, 2019","$1,630,000","$1,605,000",Single Family Residential,1985,2736,4,4,Wonderland North,Wonderland North,"$6,959",Boulder Valley RE 2,2,2,"Sump Pump, Walk-Out Access",,"Cash, Conventional"
4024,1108 Grant Avenue,"Louisville, CO 80027","May 23, 2019","$1,495,000","$1,605,000",Single Family Residential,2007,4421,5,5,Capitol Hill,Capitol Hill,"$7,655",Boulder Valley RE 2,2,2,Full,,"Cash, Conventional, FHA, VA"
4025,10165 Rancho Montecito Drive,"Parker, CO 80138","Dec 18, 2020","$1,600,000","$1,605,000",Single Family Residential,2007,6950,5,7,Rancho Montecito,Rancho Montecito,"$8,280",Douglas RE-1,5,5,"Finished, Walk-Out Access",$300,Cash
4026,2925 Carriage Hills Drive,"Boulder, CO 80302","Aug 10, 2020","$1,675,000","$1,605,000",Single Family Residential,1986,3452,3,3,Carriage Hills Estates,Carriage Hills Estates,"$5,194",Boulder Valley RE 2,4,4,"Finished, Partial, Walk-Out Access","$2,200",Other
4027,1108 Grant Avenue,"Louisville, CO 80027","May 23, 2019","$1,495,000","$1,605,000",Single Family Residential,2007,4421,5,5,Louisville,Louisville,"$7,655",Boulder Valley RE 2,2,2,"Full, Finished",,Conventional
4028,12755 Horizon Trail,"Castle Pines, CO 80108","May 31, 2018","$1,695,000","$1,605,000",Single Family Residential,2007,7642,5,6,Castle Pines,Castle Pines,"$10,366",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$40,Conventional
4029,75 Falcon Hills Drive,"Highlands Ranch, CO 80126","Mar 27, 2020","$1,559,000","$1,605,000",Single Family Residential,1990,8545,5,7,Falcon Hills,Falcon Hills,"$8,110",Douglas RE-1,4,4,"Full, Finished, Walk-Out Access",$152,Conventional
4030,8094 Donatello Court,"Littleton, CO 80125","Oct 28, 2020","$1,595,000","$1,602,615",Single Family Residential,2020,4155,3,4,Ravenna,Ravenna,"$9,286",Douglas RE-1,3,3,"Finished, Walk-Out Access",$317,Conventional
4031,3488 Fox Crossing Place,"Loveland, CO 80537","Mar 05, 2021","$1,650,000","$1,601,800",Single Family Residential,2020,6764,6,7,Warberg Farm,Warberg Farm,$36,Thompson R2-J,4,4,Full,$375,
4032,3488 Fox Crossing Place,"Loveland, CO 80537","Mar 05, 2021","$1,650,000","$1,601,800",Single Family Residential,2020,6764,6,7,Warberg Farms,Warberg Farms,$36,Thompson R2-J,4,4,"Full, Finished",$375,Conventional
4033,519 S Gaylord Street,"Denver, CO 80209","Mar 25, 2021","$1,599,950","$1,600,500",Single Family Residential,1929,4886,4,5,Washington Park,Washington Park,"$6,177",Denver 1,4,4,"Full, Finished",,Conventional
4034,1901 Wazee Street Unit 1018,"Denver, CO 80202","Apr 27, 2021","$1,600,000","$1,600,000",Condo,2020,1546,1,2,Lodo,Lodo,,Denver 1,1,1,,$851,Cash
4035,20850 Cheyenne Trail,"Oak Creek, CO 80467","Apr 28, 2021","$1,645,000","$1,600,000",Single Family Residential,2009,5069,,,Greenridge Ranch,Greenridge Ranch,"$7,883",South Routt RE-3,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$750,Conventional
4036,6690 Rabbit Mountain Road,"Longmont, CO 80503","Sep 09, 2020","$1,750,000","$1,600,000",Single Family Residential,1996,5404,4,6,Peper Ridge,Peper Ridge,"$7,515",St. Vrain Valley RE-1J,3,3,Walk-Out Access,,"Cash, Conventional"
4037,2126 Pearl Street Unit C,"Boulder, CO 80302","Aug 07, 2020","$1,650,000","$1,600,000",Multifamily,2020,1702,,,Pearl21,Pearl21,,Boulder Valley RE 2,1,1,None,$464,"Cash, Conventional"
4038,2126 Pearl Street Unit A,"Boulder, CO 80302","Jun 30, 2020","$1,650,000","$1,600,000",Multifamily,2020,1646,,,Pearl21,Pearl21,,Boulder Valley RE 2,1,1,None,$448,"Cash, Conventional"
4039,7445 Deerfield Road,"Longmont, CO 80503","Sep 22, 2020","$1,675,000","$1,600,000",Single Family Residential,1996,6652,4,6,Lagerman Estates,Lagerman Estates,"$11,154",St. Vrain Valley RE-1J,3,3,Full,$500,"Cash, Conventional"
4040,9875 Phillips Road,"Lafayette, CO 80026","Jul 30, 2020","$1,695,000","$1,600,000",Single Family Residential,2003,5474,5,4,Granja Estates,Granja Estates,"$9,171",Boulder Valley RE 2,2,2,"Full, Unfinished",,"Cash, Conventional"
4041,56 Apple Ridge Road,"Lyons, CO 80540","Jul 24, 2020","$1,585,000","$1,600,000",Single Family Residential,1990,4293,3,3,Apple,Apple,"$7,028",St. Vrain Valley RE-1J,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
4042,4587 Apple Way,"Boulder, CO 80301","Oct 12, 2020","$1,600,000","$1,600,000",Single Family Residential,1984,3452,4,3,Orange Orchard,Orange Orchard,"$5,994",Boulder Valley RE 2,3,3,"Partial, Unfinished",$800,"Cash, Conventional"
4043,17300 N County Road 25,"Loveland, CO 80538","Jan 23, 2019","$1,600,000","$1,600,000",Single Family Residential,1986,2473,2,2,Redstone Canyon,Redstone Canyon,"$1,193",Thompson R2-J,2,2,Partial,$206,
4044,3156 75th Street,"Boulder, CO 80301","Jul 10, 2018","$1,775,000","$1,600,000",Single Family Residential,1993,6187,4,3,Allen Farm,Allen Farm,"$8,733",Boulder Valley RE 2,3,3,"Daylight, Bath/Stubbed, Sump Pump",,"Cash, Conventional"
4045,250 Columbine Street Unit 505,"Denver, CO 80206","Mar 15, 2021","$1,600,000","$1,600,000",Condo,2016,1315,1,2,Cherry Creek North,Cherry Creek North,"$5,581",Denver 1,2,2,,$599,Cash
4046,15227 W Warren Drive,"Lakewood, CO 80228","Apr 02, 2021","$1,600,000","$1,600,000",Single Family Residential,2013,5735,4,4,Solterra,Solterra,"$11,513",Jefferson County R-1,4,4,"Full, Finished",$180,VA
4047,2710 E Eastman Avenue,"Denver, CO 80210","Feb 08, 2021","$1,600,000","$1,600,000",Single Family Residential,1956,2886,3,3,Southern Hills,Southern Hills,"$3,543",Denver 1,2,2,Partial,,Conventional
4048,1986 Hardscrabble Place,"Boulder, CO 80305","Mar 25, 2021","$1,550,000","$1,600,000",Single Family Residential,1984,2748,3,4,Shanahan Ridge 6,Shanahan Ridge 6,"$6,770",Boulder Valley RE 2,2,2,Full,$90,
4049,806 Hawthorn Avenue,"Boulder, CO 80304","Mar 10, 2021","$1,650,000","$1,600,000",Single Family Residential,1992,2996,3,3,Newlands,Newlands,"$6,810",Boulder Valley RE 2,2,2,"None, Bath/Stubbed",,
4050,583 N High Street,"Denver, CO 80218","Apr 09, 2021","$1,600,000","$1,600,000",Single Family Residential,1932,2371,3,3,Country Club,Country Club,"$5,179",Denver 1,2,2,"Full, Finished",,Conventional
4051,2593 Sunshine Canyon Drive,"Boulder, CO 80302","Mar 05, 2021","$1,499,000","$1,600,000",Single Family Residential,1973,4110,4,4,Saxon Estates,Saxon Estates,"$7,145",Boulder Valley RE 2,2,2,Partial,,
4052,5249 Pierre Street,"Boulder, CO 80304","Nov 20, 2020","$1,529,000","$1,600,000",Single Family Residential,2010,3669,6,4,Dakota Ridge Village Ph 5,Dakota Ridge Village Ph 5,"$8,338",Boulder Valley RE 2,2,2,,$39,
4053,3000 Palo Parkway,"Boulder, CO 80301","May 30, 2018","$1,625,000","$1,600,000",Single Family Residential,2015,3927,5,4,Kalmia38,Kalmia38,"$7,209",Boulder Valley RE 2,3,3,Full,$50,"Cash, Conventional"
4054,9995 Carbon Road,"Broomfield, CO 80020","Mar 26, 2019","$1,750,000","$1,600,000",Single Family Residential,1998,4602,4,3,Broomfield,Broomfield,"$4,396",Boulder Valley RE 2,4,4,"Full, Walk-Out Access",,"Cash, Conventional"
4055,675 Dellwood Avenue,"Boulder, CO 80304","Oct 09, 2018","$1,595,000","$1,600,000",Single Family Residential,1961,2558,4,3,Newlands,Newlands,"$7,746",Boulder Valley RE 2,1,1,"Crawl Space, None",,
4056,1631 Gillaspie Drive,"Boulder, CO 80305","Jan 25, 2019","$1,600,000","$1,600,000",Single Family Residential,1973,2945,4,3,Rolling Hills,Rolling Hills,"$7,793",Boulder Valley RE 2,2,2,Full,,
4057,2424 Bitterroot Circle,"Lafayette, CO 80026","May 03, 2018","$1,650,000","$1,600,000",Single Family Residential,1999,7265,6,6,Indian Peaks,Indian Peaks,"$10,515",Boulder Valley RE 2,3,3,"Daylight, Full",$275,"Cash, Conventional"
4058,15789 N 83rd Street,"Longmont, CO 80503","Jun 07, 2019","$1,780,000","$1,600,000",Single Family Residential,2000,2880,2,3,,,"$2,465",Thompson R2-J,,,None,,"Cash, Conventional"
4059,2305 Kenwood Drive,"Boulder, CO 80305","Jul 09, 2018","$1,495,000","$1,600,000",Single Family Residential,1961,2302,4,4,Highland Park,Highland Park,"$7,774",Boulder Valley RE 2,2,2,None,,"Cash, Conventional"
4060,3821 Tayside Court,"Timnath, CO 80547","Dec 03, 2018","$1,675,000","$1,600,000",Single Family Residential,2008,6066,3,6,Harmony,Harmony,"$10,932",Poudre R-1,3,3,"Full, Walk-Out Access",$170,"Cash, Conventional"
4061,7247 E County Line Road,"Longmont, CO 80504","Nov 29, 2018","$1,750,000","$1,600,000",Single Family Residential,1907,4053,3,3,,,"$6,063",St. Vrain Valley RE-1J,2,2,,,
4062,745 Pine Street,"Boulder, CO 80302","Jun 06, 2019","$1,350,000","$1,600,000",Single Family Residential,1922,1932,2,1,Mapleton Hill,Mapleton Hill,"$6,063",Boulder Valley RE 2,,,"Partial, Unfinished",,Cash
4063,2203 Holyoke Drive,"Boulder, CO 80305","Jul 05, 2019","$1,600,000","$1,600,000",Single Family Residential,1973,2517,4,3,Table Mesa 4,Table Mesa 4,"$7,163",Boulder Valley RE 2,2,2,Full,,"Cash, Conventional"
4064,445 Utica Avenue,"Boulder, CO 80304","Sep 21, 2018","$1,600,000","$1,600,000",Single Family Residential,1984,3207,4,4,Wonderland North,Wonderland North,"$6,718",Boulder Valley RE 2,2,2,"Crawl Space, Daylight, Walk-Out Access",,"Cash, Conventional"
4065,1077 Canyon Boulevard Unit 208,"Boulder, CO 80302","May 10, 2019","$1,699,900","$1,600,000",Condo,2008,1730,2,2,Downtown,Downtown,"$10,330",Boulder Valley RE 2,2,2,None,$597,"Cash, Conventional"
4066,1077 Canyon Boulevard Unit 208,"Boulder, CO 80302","May 10, 2019","$1,699,900","$1,600,000",Condo,2008,1730,2,2,Downtown,Downtown,"$10,330",Boulder Valley RE 2,2,2,None,$597,"Cash, Conventional"
4067,1073 Copper Hill Court,"Louisville, CO 80027","Oct 24, 2018","$1,650,000","$1,600,000",Single Family Residential,2011,5809,4,6,Copper Hill,Copper Hill,"$11,032",Boulder Valley RE 2,4,4,"Crawl Space, Daylight, Full, Sump Pump, Walk-Out Access",$40,"Cash, Conventional"
4068,2688 Ballard Way,"Castle Rock, CO 80109","Feb 02, 2021","$1,399,900","$1,600,000",Single Family Residential,2006,7440,5,6,Keene Ranch,Keene Ranch,"$6,701",Douglas RE-1,,,"Finished, Walk-Out Access",$295,Cash
4069,11555 Green Acres Lane,"Colorado Springs, CO 80908","Apr 05, 2021","$1,675,000","$1,600,000",Single Family Residential,2001,6176,6,6,,,"$7,130",Academy 20,3,3,,,VA
4070,1184 S Clarkson Street,"Denver, CO 80210","Jan 22, 2021","$1,695,000","$1,600,000",Single Family Residential,2015,4864,5,6,Washington Park West,Washington Park West,"$6,682",Denver 1,3,3,"Full, Finished",,Conventional
4071,31216 Tanoa Road,"Evergreen, CO 80439","Jan 22, 2021","$1,700,000","$1,600,000",Single Family Residential,1999,5503,4,6,Tanoa,Tanoa,"$7,887",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Bath/Stubbed, Walk-Out Access",$450,Conventional
4072,4587 Apple Way,"Boulder, CO 80301","Oct 12, 2020","$1,600,000","$1,600,000",Single Family Residential,1984,3452,4,3,Orange Orchard,Orange Orchard,"$5,994",Boulder Valley RE 2,3,3,"Unfinished, Sump Pump",$800,Cash
4073,290 Glencoe Street,"Denver, CO 80220","Oct 09, 2020","$1,595,000","$1,600,000",Single Family Residential,1954,3972,5,3,Hilltop,Hilltop,"$7,514",Denver 1,3,3,,,Cash
4074,290 Glencoe Street,"Denver, CO 80220","Oct 09, 2020","$1,595,000","$1,600,000",Single Family Residential,1954,3972,5,3,Hilltop,Hilltop,"$7,514",Denver 1,3,3,,,Cash
4075,745 Gaylord Street,"Denver, CO 80206","Nov 20, 2020","$1,645,000","$1,600,000",Single Family Residential,1924,3378,5,4,Cheeseman Park,Cheeseman Park,"$8,185",Denver 1,2,2,"Full, Finished",,Conventional
4076,155 Steele Street Unit 316,"Denver, CO 80206","Jan 15, 2020","$1,600,000","$1,600,000",Condo,2018,1950,,,Cherry Creek North,Cherry Creek North,$1,Denver 1,2,2,,$954,Cash
4077,7445 Deerfield Road,"Longmont, CO 80503","Sep 22, 2020","$1,675,000","$1,600,000",Single Family Residential,1996,6652,4,6,Lagerman Estates,Lagerman Estates,"$11,154",St. Vrain Valley RE-1J,3,3,"Full, Finished, Walk-Out Access, Sump Pump",$500,Conventional
4078,648 Ruby Trust Drive,"Castle Rock, CO 80108","Dec 01, 2020","$1,635,000","$1,600,000",Single Family Residential,2007,8002,5,7,Castle Pines Village,Castle Pines Village,"$12,825",Douglas RE-1,4,4,"Full, Interior Entry, Bath/Stubbed, Walk-Out Access",$300,Conventional
4079,595 Garfield Street,"Denver, CO 80206","Aug 31, 2020","$1,600,000","$1,600,000",Multifamily,2001,4851,,,Cherry Creek North,Cherry Creek North,"$7,970",Denver 1,2,2,"Daylight, Full, Finished, Interior Entry",,Conventional
4080,1275 S Steele Street,"Denver, CO 80210","Oct 01, 2020","$1,674,000","$1,600,000",Single Family Residential,2018,5496,6,5,Cory Merrill,Cory Merrill,"$3,275",Denver 1,2,2,Full,,Conventional
4081,56 Apple Ridge Road,"Lyons, CO 80540","Jul 24, 2020","$1,585,000","$1,600,000",Single Family Residential,1990,4293,3,3,Apple,Apple,"$7,028",St. Vrain Valley RE-1J,2,2,"Finished, Walk-Out Access",,Conventional
4082,1030 W 141st Circle,"Westminster, CO 80023","Jun 16, 2020","$1,600,000","$1,600,000",Single Family Residential,2007,6706,6,6,Huntington Trails,Huntington Trails,"$10,581",Adams 12 5 Star Schl,4,4,"Finished, Sump Pump",$158,Conventional
4083,1030 W 141st Circle,"Westminster, CO 80023","Jun 16, 2020","$1,600,000","$1,600,000",Single Family Residential,2007,6706,6,6,Huntington Trails,Huntington Trails,"$10,581",Adams 12 5 Star Schl,4,4,"Finished, Sump Pump",$158,Conventional
4084,9875 Phillips Road,"Lafayette, CO 80026","Jul 30, 2020","$1,695,000","$1,600,000",Single Family Residential,2003,5474,5,4,Granja Estates,Granja Estates,"$9,171",Boulder Valley RE 2,2,2,"Full, Unfinished",,Cash
4085,1056 S Clayton Way,"Denver, CO 80209","Jun 19, 2020","$1,595,000","$1,600,000",Single Family Residential,1963,3748,4,4,Bonnie Brae,Bonnie Brae,"$4,939",Denver 1,2,2,"Daylight, Exterior Entry, Full, Finished, Walk-Out Access",,Cash
4086,16422 Rocky Point Lane,"Morrison, CO 80465","Mar 17, 2021","$1,699,000","$1,600,000",Single Family Residential,1999,5917,4,5,Willow Springs,Willow Springs,"$8,506",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$300,Conventional
4087,255 Arnica Lane,"Silverthorne, CO 80498","Jun 15, 2020","$1,750,000","$1,600,000",Single Family Residential,2002,3962,4,3,Eagles Nest Golf Course Sub,Eagles Nest Golf Course Sub,"$5,251",Summit RE-1,3,3,Daylight,$200,Cash
4088,255 Arnica Lane,"Silverthorne, CO 80498","Jun 15, 2020","$1,750,000","$1,600,000",Single Family Residential,2002,3962,4,3,Eagles Nest Golf Course Sub,Eagles Nest Golf Course Sub,"$5,251",Summit RE-1,3,3,Daylight,$200,Cash
4089,47 W Ranch Trail,"Morrison, CO 80465","Aug 28, 2020","$1,665,000","$1,600,000",Single Family Residential,1995,6127,5,5,West Ranch,West Ranch,"$10,533",Jefferson County R-1,5,5,"Exterior Entry, Full, Finished",$690,Conventional
4090,1040 Buffalo Ridge Road,"Castle Pines, CO 80108","Jun 04, 2020","$1,600,000","$1,600,000",Single Family Residential,2005,6727,5,6,Castle Pines North/ Buffalo Ridge Estates,Castle Pines North/ Buffalo Ridge Estates,"$10,099",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$40,Cash
4091,1040 Buffalo Ridge Road,"Castle Pines, CO 80108","Jun 04, 2020","$1,600,000","$1,600,000",Single Family Residential,2005,6727,5,6,Castle Pines North/ Buffalo Ridge Estates,Castle Pines North/ Buffalo Ridge Estates,"$10,099",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$40,Cash
4092,31461 Island Drive,"Evergreen, CO 80439","Jul 10, 2020","$1,725,000","$1,600,000",Single Family Residential,1989,6892,6,6,Tanoa & Hiwan-8009,Tanoa & Hiwan-8009,"$8,688",Jefferson County R-1,3,3,"Finished, Walk-Out Access","$1,100",Conventional
